"번호","사업장명","소재지전체주소","도로명전체주소","개업일자","영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지면적","소재지우편번호","사업개시예정일","사업구분명","인가상태명","전화번호","위치정보(X)","위치정보(Y)","상세영업상태명"
"115","갈현주유소","서울특별시 은평구 갈현동 506-5번지 ","서울특별시 은평구 갈현로 197 (갈현동)","19930604","운영중","","","","","","","19931204","주유소","","02 3899005","192312.77528200000  ","457318.14902000000  ","신규등록"
"116","수색훼미리주유소","서울특별시 은평구 수색동 154-5번지 ","서울특별시 은평구 수색로 236 (수색동)","19780528","운영중","","20140917","20141225","20150608","964","","19781228","주유소","","02 3728217","190983.03943500000  ","453525.90718300000  ","휴지사업재개"
"117","현대주유소","서울특별시 양천구 신월동 167-1번지 ","서울특별시 양천구 남부순환로 372 (신월동)","19921203","운영중","","","","","687.3","","19931207","주유소","","0226089231","184911.85450300000  ","448279.10687900000  ","신규등록"
"118","신양주유소","서울특별시 양천구 신월동 951-4번지 ","서울특별시 양천구 지양로 67 (신월동)","19930610","운영중","","","","","443","","19940826","주유소","","0226083312","185314.02384800000  ","446906.57871500000  ","신규등록"
"119","목동주유소","서울특별시 양천구 목동 199-58번지 ","서울특별시 양천구 목동중앙로 125 (목동)","19930610","운영중","","","","","385","","19940915","주유소","","0226535789","188920.89337700000  ","448917.45472900000  ","신규등록"
"120","신월동주유소","서울특별시 양천구 신월동 199-5번지 ","서울특별시 양천구 남부순환로 408 (신월동)","19931214","운영중","","","","","2464.6","","20120911","주유소","","0226905837","185080.08142100000  ","447975.84318700000  ","신규등록"
"121","현대오일뱅크(주) 직영 목동셀프주유소","서울특별시 양천구 목동 516-1번지 ","서울특별시 양천구 공항대로 648 (목동)","19931221","운영중","","","","","708.7","","19950524","주유소","","0226484204","189129.08064500000  ","449701.80714000000  ","신규등록"
"122","SK에너지(주)신평주유소","서울특별시 양천구 신정동 209-6번지 ","서울특별시 양천구 목동남로 62 (신정동)","19950227","운영중","","","","","1181.5","","19960617","주유소","","0226545145","188173.65449200000  ","445555.21683600000  ","신규등록"
"123","대농self주유소","서울특별시 양천구 신월동 474-4번지 ","서울특별시 양천구 중앙로 331 (신월동)","19890831","운영중","","20161004","20171220","20161202","594.7","","19900530","주유소","","0226944966","186718.90067600000  ","447343.62382300000  ","휴지사업재개"
"124","(주)삼표에너지 목동주유소","서울특별시 양천구 목동 905-30번지 ","서울특별시 양천구 목동서로 129 (목동)","19910429","운영중","","","","","684.7","","19920428","주유소","","0226545152","188999.34366000000  ","448081.17088000000  ","신규등록"
"125","건지주유소","서울특별시 양천구 목동 121-4번지 ","서울특별시 양천구 안양천로 1171 (목동)","19920131","운영중","","","","","601","","20141024","주유소","","0226445108","189585.61283200000  ","449540.14204000000  ","신규등록"
"126","(주)지에스이앤알 서울주유소","서울특별시 양천구 신정동 1294-6번지 ","서울특별시 양천구 신정로 236 (신정동)","19920215","운영중","","20080424","20081023","20090608","916","","20090608","주유소","","00023174015","186465              ","445401              ","영업개시"
"127","신신월 주유소","서울특별시 양천구 신월동 534-24번지 ","서울특별시 양천구 신월로 193 (신월동)","19920414","운영중","","","","","519.2","","20141013","주유소","","0226017117","186215.64782800000  ","446740.63349400000  ","신규등록"
"128","양천구주유소","서울특별시 양천구 목동 804-35번지 ","서울특별시 양천구 국회대로 275 (목동)","19920414","운영중","","","","","1037","","20020415","주유소","","0226445105","188116.12921700000  ","447883.58505800000  ","신규등록"
"129","에이치지에너지 가로공원주유소","서울특별시 양천구 신월동 87-15번지 ","서울특별시 양천구 가로공원로 165 (신월동)","19920414","운영중","","","","","393","","20121010","주유소","","0226953423","185355.05870200000  ","448625.81443100000  ","신규등록"
"130","(주)부흥에너지 평화주유소","서울특별시 양천구 신정동 161-5번지 ","서울특별시 양천구 안양천로 657 (신정동)","19920414","운영중","","","","","1984.5","","19920414","주유소","","0226472122","188580.02054300000  ","445188.16248200000  ","신규등록"
"131","SK에너지(주)경인주유소","서울특별시 양천구 신정동 872-5번지 ","서울특별시 양천구 국회대로 170 (신정동)","19920414","운영중","","","","","873.4","","19930302","주유소","","0226973456","187095.54756800000  ","447640.72938500000  ","신규등록"
"132","신목동셀프주유소","서울특별시 양천구 신정동 296-5번지 1702222930158171212213 ","서울특별시 양천구 신목로7길 11 (신정동)","19921203","운영중","","20150601","20151102","20160404","2195","","19940530","주유소","","0226425188","188601.13459000000  ","446686.04791400000  ","휴지사업재개"
"133","동일석유(주)개나리주유소","서울특별시 양천구 신월동 206-1번지 ","서울특별시 양천구 남부순환로 442 (신월동)","19770910","운영중","","","","","1412","","19810506","주유소","","0226065189","185234.68723800000  ","447654.00693200000  ","휴지사업재개"
"134","(주)서부티엔디","서울특별시 양천구 신정동 1315번지 서부트럭터미널 ","서울특별시 양천구 신정로 167 (신정동)","19800728","운영중","","","","","3560","","19800728","주유소","","0226140047","186055.14561800000  ","445708.64849200000  ","신규등록"
"135","서호주유소","서울특별시 양천구 신월동 52-1번지 ","서울특별시 양천구 남부순환로 317 (신월동)","19801106","운영중","","20101001","20101231","","542.8","","19801106","주유소","","0226051359","184711.78685200000  ","448802.93769200000  ","휴지사업재개"
"136","양천주유소","서울특별시 양천구 신정동 151-20번지 ","서울특별시 양천구 목동로 17 (신정동)","19890420","운영중","","","","","1282","","19900531","주유소","","0226442123","188617.07049300000  ","445709.24785800000  ","신규등록"
"137","SK네트웍스(주)SK OK주유소","서울특별시 양천구 목동 122-2번지 ","서울특별시 양천구 안양천로 1179 (목동)","19970927","운영중","","","","","1744","","19980927","주유소","","0226535189","189522.92036600000  ","449600.53785900000  ","신규등록"
"138","신정동주유소","서울특별시 양천구 신정동 162-40번지 ","서울특별시 양천구 안양천로 663 (신정동)","20090708","운영중","","20141010","20141215","20141219","405","","20120404","주유소","","26465145","188605.14791800000  ","445220.19795100000  ","휴지사업재개"
"139","양정주유소","서울특별시 양천구 신정동 872-1번지 ","서울특별시 양천구 국회대로 158 (신정동)","20110715","운영중","","","","","316.3","","20110718","주유소","","02  26915185","186977.75299800000  ","447628.32760300000  ","신규등록"
"140","형산석유(주)원주유소","","서울특별시 양천구 남부순환로 408 (신월동)","20170116","운영중","","","","","1439","","20170215","주유소","","0226905837","185080.08142100000  ","447975.84318700000  ","신규등록"
"141","(주)서우유통에너지","서울특별시 동작구 노량진동 267-6번지 ","서울특별시 동작구 노량진로 78 (노량진동)","19910925","운영중","","20071001","20071130","20071214","762","","19910925","주유소","","02 8217009","194221.64886100000  ","445945.85059600000  ","영업개시"
"142","살피재주유소","서울특별시 동작구 상도동 468-1번지 ","서울특별시 동작구 상도로 334 (상도동)","19931022","운영중","","","","","238.7","","19931022","주유소","","02  825 2060","195701.48014200000  ","444323.26657600000  ","신규등록"
"143","매일주유소","서울특별시 동작구 상도동 190-1번지 ","서울특별시 동작구 상도로 139 (상도동)","19931228","운영중","","","","","945","","19931228","주유소","","02  817 4085","194268.63532500000  ","444823.83976900000  ","신규등록"
"144","서경주유소","서울특별시 동작구 신대방동 687-13번지 ","서울특별시 동작구 대림로 46 (신대방동)","20000830","운영중","","","","","1060.9","","20010830","주유소","","02 8465132","191899.48826700000  ","443188.01519700000  ","신규등록"
"145","대방주유소","서울특별시 동작구 대방동 383-19번지 ","서울특별시 동작구 여의대방로 214 (대방동)","19940620","운영중","","","","","669.7","","20060224","주유소","","02 8265145","193189.59123600000  ","445144.49535300000  ","신규등록"
"146","현대오일뱅크(주) 직영 사당셀프주유소","서울특별시 동작구 사당동 1007-47번지 ","서울특별시 동작구 동작대로 73 (사당동)","19760501","운영중","","","","","","","19760501","주유소","","02 5213618","198366.51403800000  ","442630.76598100000  ","휴지사업재개"
"147","대성산업(주) 노량진주유소","서울특별시 동작구 노량진동 148-8번지 ","서울특별시 동작구 노량진로 172 (노량진동)","19760501","운영중","","","","","819","","19760501","주유소","","02 8152354","195138.82106300000  ","446012.89935600000  ","신규등록"
"148","SK네트웍스(주) 흑석동주유소","서울특별시 동작구 흑석동 9-46번지 ","서울특별시 동작구 현충로 101 (흑석동)","19760526","운영중","","20120113","20120530","","1124","","20120706","주유소","","02 8150724","196926.58103100000  ","445403.68656100000  ","영업개시"
"149","SK네트웍스(주) 21세기주유소","서울특별시 동작구 신대방동 686-44번지 ","서울특별시 동작구 시흥대로 616 (신대방동)","19760402","운영중","","","","","2481","","19760402","주유소","","02  832 7926","191654.69715900000  ","443089.58298800000  ","신규등록"
"150","현대오일뱅크(주) 직영 동작주유소","서울특별시 동작구 상도동 121-21번지 ","서울특별시 동작구 상도로 403 (상도동)","19880312","운영중","","20160321","20161130","20161128","953","","19880312","주유소","","02 8179179","196161.90527700000  ","443780.47641700000  ","휴지사업재개"
"151","(주)창원현대에너지 동작지점 금성주유소","서울특별시 동작구 상도동 103-1번지 외 1필지 ","서울특별시 동작구 사당로 59 (상도동)","20040510","운영중","","","","","519.62","","20040510","주유소","","02  825 5151","196590.63408200000  ","443942.80953900000  ","신규등록"
"152","한원케미칼(주)","서울특별시 동작구 사당동 86-3번지 ","서울특별시 동작구 동작대로 135 (사당동)","19930107","운영중","","20120820","20130228","20130129","634","","19930107","주유소","","02  532 0606","198405.47392900000  ","443250.49913500000  ","휴지사업재개"
"153","백산주유소","서울특별시 금천구 시흥동 904번지 (시흥대로 513) ","서울특별시 금천구 시흥대로 174 (시흥동)","19930426","운영중","","","","","1185.28","","20041218","주유소","","02 8073161","191421.72972400000  ","438927.99836900000  ","신규등록"
"154","구광석유주유소","서울특별시 금천구 가산동 535-155번지 (서부샛길 33) ","서울특별시 금천구 서부샛길 674 (가산동)","19860722","운영중","","","","","679.64","","19950301","주유소","","02 8686889","188960.84061500000  ","442519.61156500000  ","신규등록"
"155","대득에너지 (금천셀프주유소)","서울특별시 금천구 시흥동 983번지 ","서울특별시 금천구 시흥대로 81 (시흥동)","20100217","운영중","","","","","1841.4","","20100218","주유소","","","191424.74008200000  ","437994.88489600000  ","신규등록"
"156","남서울(경복에너지)","서울특별시 금천구 독산동 195-2번지 ","서울특별시 금천구 독산로 257 (독산동)","20160518","운영중","","","","","570.2","","20160609","주유소","","","191368.89347100000  ","441164.73544200000  ","영업개시"
"157","경복에너지주유소","서울특별시 금천구 시흥동 860-36번지 (독산동길 220) ","서울특별시 금천구 독산로 147 (시흥동)","19960725","운영중","","20120822","20121231","20130130","991.5","","20011004","주유소","","02 8095511","191546.25893000000  ","440124.92560200000  ","휴지사업재개"
"158","SK에너지(주) 박미주유소","서울특별시 금천구 시흥동 980번지 (시흥대로 646-2) ","서울특별시 금천구 시흥대로 39-7 (시흥동)","19740104","운영중","","20150610","20150930","20150918","1031.56","","20030801","주유소","","02 8026749","191367.27205900000  ","437539.61846600000  ","휴지사업재개"
"159","SK네트웍스(주) 순환도로주유소","서울특별시 금천구 독산동 900-4번지 (독산동길 72) ","서울특별시 금천구 남부순환로 1410 (독산동)","19920427","운영중","","","","","525.3","","20030801","주유소","","02 8595426","191818.80906800000  ","442311.22930300000  ","신규등록"
"160","SK에너지(주) 이가주유소","서울특별시 금천구 독산동 150-6번지 (시흥대로 244) ","서울특별시 금천구 시흥대로 441 (독산동)","19940318","운영중","","","","","767.3","","20030929","주유소","","02 8612241","190973.64129100000  ","441529.14628500000  ","신규등록"
"161","(주)태영유업","서울특별시 금천구 독산동 967번지 (시흥대로 201) ","서울특별시 금천구 시흥대로 484 (독산동)","19760426","운영중","","","","","719.5","","20041231","주유소","","02 8560283","191087.69993600000  ","441937.07892100000  ","신규등록"
"162","KH에너지(주) 직영 시흥대로주유소","서울특별시 금천구 시흥동 993번지 (시흥대로 466) ","서울특별시 금천구 시흥대로 221 (시흥동)","19760526","운영중","","20141204","20150130","20150102","660.7","","20051004","주유소","","02 8056161","191200.69657800000  ","439341.87315100000  ","휴지사업재개"
"163","백운주유소","서울특별시 금천구 독산동 1077-3번지 (시흥대로 405) ","서울특별시 금천구 시흥대로 282 (독산동)","19920629","운영중","","","","","655.3","","20051004","주유소","","02 8948521","191099.89589700000  ","439948.82214100000  ","신규등록"
"164","성부주유소","서울특별시 금천구 가산동 142-13번지 (남부순환로 1274) ","서울특별시 금천구 남부순환로 1272 (가산동)","19760517","운영중","","","","","669","","19760517","주유소","","02 8568967","190468.29120100000  ","442147.79408800000  ","신규등록"
"165","주식회사 명보에너지","서울특별시 금천구 독산동 292-7번지 (시흥대로 312) ","서울특별시 금천구 시흥대로 377 (독산동)","20060703","운영중","","","","","827","","20101004","주유소","","02   8080051","190928.12842900000  ","440891.14686400000  ","신규등록"
"166","협진제유산업(주)동일주유소","서울특별시 성동구 성수동2가 289-2번지 ","서울특별시 성동구 광나루로 254 (성수동2가)","19940214","운영중","","","","","2433","","19940214","주유소","","4617100","205117.54960800000  ","449897.04216300000  ","신규등록"
"167","아이콘주유소","서울특별시 성동구 도선동 2-4번지 ","서울특별시 성동구 고산자로 273 (도선동)","19940228","운영중","","","","","951","","19940228","주유소","","22915189","203173.55743600000  ","451622.16919300000  ","신규등록"
"168","태은에너지 KLP제2주유소","서울특별시 성동구 송정동 83-3번지 ","서울특별시 성동구 동일로 249 (송정동)","19940401","운영중","","","","","757","","20180502","주유소","","4655182","206223.61319700000  ","450501.15363300000  ","신규등록"
"169","KH에너지(주) 직영 성수만세주유소","서울특별시 성동구 성수동1가 656-1208번지 ","서울특별시 성동구 왕십리로 109 (성수동1가)","19940708","운영중","","","","","991","","20051018","주유소","","4642660","203919.27333100000  ","449778.11092700000  ","신규등록"
"170","삼우 주유소","서울특별시 성동구 용답동 229-5번지 ","서울특별시 성동구 천호대로 392 (용답동)","19960227","운영중","","","","","767.6","","19960227","주유소","","22458974","205505.33885100000  ","451322.24883900000  ","신규등록"
"171","주식회사 서울에너지","서울특별시 성동구 용답동 5-4번지 ","서울특별시 성동구 천호대로 324 (용답동)","20030404","운영중","","","","","","","20180409","주유소","","22483655","204911.66950400000  ","451634.74766400000  ","신규등록"
"172","정호주유소","","서울특별시 성동구 고산자로 307 (행당동)","19921230","운영중","","","","","180","","19921230","주유소","","22913033","203227.93755200000  ","451963.34537600000  ","신규등록"
"173","현대오일뱅크(주)성동현대주유소","서울특별시 성동구 마장동 771번지 ","서울특별시 성동구 마장로 311 (마장동)","19930531","운영중","","","","","794.5","","19930531","주유소","","22997333","203862.58615800000  ","451943.06489300000  ","신규등록"
"174","옥수 주유소","서울특별시 성동구 옥수동 449-5번지 ","서울특별시 성동구 독서당로 168 (옥수동)","19930531","운영중","","","","","","","19930531","주유소","","22825151","201006.72669400000  ","449053.27790400000  ","신규등록"
"175","청계로 주유소","서울특별시 성동구 하왕십리동 291-9번지 ","서울특별시 성동구 청계천로 454 (하왕십리동)","19931227","운영중","","","","","661","","20050106","주유소","","22944225","202419.89155800000  ","452278.19207600000  ","신규등록"
"176","금호주유소","서울특별시 성동구 금호동4가 187-2번지 ","서울특별시 성동구 금호로 39 (금호동4가)","19760531","운영중","","","","","781","","19760531","주유소","","22970066","202219.42879300000  ","449737.03999700000  ","신규등록"
"177","세원주유소","서울특별시 성동구 성수동1가 13-11번지 ","서울특별시 성동구 광나루로 184 (성수동1가)","19760521","운영중","","","","","1002","","19760521","주유소","","4625665","204456.84210500000  ","450150.16780000000  ","신규등록"
"178","경진주유소","서울특별시 성동구 용답동 229-5번지 ","서울특별시 성동구 천호대로 392 (용답동)","20031002","운영중","","","","","","","20031002","주유소","","22953331","205505.33885100000  ","451322.24883900000  ","신규등록"
"179","SK에너지(주) 군자동주유소","서울특별시 성동구 용답동 236-1번지 ","서울특별시 성동구 천호대로 446 (용답동)","20031002","운영중","","","","","","","20031002","주유소","","22444945","206034.77629400000  ","451224.85639400000  ","신규등록"
"180","SK네트웍스(주)효진주유소","서울특별시 성동구 성수동2가 19-1번지 ","서울특별시 성동구 동일로 129 (성수동2가)","20031002","운영중","","","","","944.5","","20031002","주유소","","4647252","205712.93161900000  ","449402.22677800000  ","휴지사업재개"
"181","동부주유소","서울특별시 성동구 성수동1가 656-216번지 ","서울특별시 성동구 광나루로 146 (성수동1가)","20040109","운영중","","","","","1761","","20040109","주유소","","4623566","204105.37643800000  ","450199.82834000000  ","신규등록"
"182","도루코주유소","서울특별시 성동구 성수동2가 19-14번지 ","서울특별시 성동구 아차산로 180 (성수동2가)","20041012","운영중","","20090506","20091031","20090927","1158","","20050422","주유소","","4636919","205613.47284000000  ","449173.37030000000  ","휴지사업재개"
"183","현대오일뱅크(주)성수주유소","서울특별시 성동구 성수동1가 33-96번지 ","서울특별시 성동구 뚝섬로 352 (성수동1가)","19910829","운영중","","","","","719","","19910829","주유소","","4677240","204410.11765900000  ","448945.31186800000  ","신규등록"
"184","확산주유소","1231번지 49통4반 주공아파트 206동 804호","","20001222","운영중","","","","","2587","","20001231","주유소","","","","","신규등록"
"185","공장주유소","1048-2번지 43통2반","","20001227","운영중","","","","","80","","20001230","주유소","","026701112","","","신규등록"
"186","(주)한미석유 구로그린주유소","서울특별시 구로구 구로동 100-10번지 ","서울특별시 구로구 구로중앙로 76 (구로동)","19930724","운영중","","20120221","20120820","","1056.6","","20120820","주유소","","02 8615189","190158.85791600000  ","444112.84984500000  ","휴지사업재개"
"187","동아주유소","서울특별시 구로구 구로동 147-7번지 ","서울특별시 구로구 도림로 91 (구로동)","19930724","운영중","","","","","377","","19940614","주유소","","02 8551202","190557.13739800000  ","443495.34602300000  ","신규등록"
"188","에서울석유(주)폴페이주유소","서울특별시 구로구 온수동 35-3번지 ","서울특별시 구로구 경인로 41 (온수동)","19931230","운영중","","","","","1006.5","","19971229","주유소","","02 6882032","184674.57600200000  ","443531.17483800000  ","신규등록"
"189","동선주유소","서울특별시 구로구 오류동 77-10번지 ","서울특별시 구로구 경인로 150 (오류동)","19940702","운영중","","","","","663","","19950622","주유소","","02 6831127","185722.69294800000  ","443776.68497500000  ","신규등록"
"190","SK네트웍스(주) 신오류주유소","서울특별시 구로구 오류동 81-29번지 91147 ","서울특별시 구로구 경인로 161-0 (오류동)","19940702","운영중","","","","","916.6","","19950906","주유소","","02 6874186","185802.82618900000  ","443903.20231600000  ","신규등록"
"191","JHC에너지","서울특별시 구로구 구로동 1126-17번지 ","서울특별시 구로구 시흥대로 539 (구로동)","19951204","운영중","","","","","978.8","","19980803","주유소","","028304 523","191136.12536600000  ","442459.04982700000  ","신규등록"
"192","SK글로벌(주) 중아주유소","서울특별시 구로구 구로동 46-6   번지 ","","19960812","운영중","","","","","1501.1","","19970512","주유소","","0232812671","","","신규등록"
"193","SK구로주유소","서울특별시 구로구 구로동 685-500번지 ","서울특별시 구로구 구일로 94 (구로동)","19890426","운영중","","","","","611.7","","19900928","주유소","","8685758","188696.84085400000  ","443813.23766200000  ","신규등록"
"194","영진주유소","서울특별시 구로구 가리봉동 90-2번지 ","서울특별시 구로구 구로동로 20 (가리봉동)","19920629","운영중","","","","","547.2","","19930125","주유소","","02 8561791","190007.05398900000  ","442701.83061600000  ","신규등록"
"249","우리주유소","서울특별시 성북구 석관동 174-1번지 ","서울특별시 성북구 화랑로 292 (석관동)","19931217","운영중","","","","","1500","","19931218","주유소","","02 9695185","205421.19209700000  ","457027.27369400000  ","영업개시"
"195","현대오일뱅크(주) 직영 개봉셀프주유소","서울특별시 구로구 개봉동 92-3번지 ","서울특별시 구로구 고척로 115 (개봉동)","19920516","운영중","","","","","344","","20150216","주유소","","0226189939","186457.28679400000  ","444725.33215100000  ","신규등록"
"196","신성주유소","서울특별시 구로구 구로동 461-13번지 ","서울특별시 구로구 구로동로 187 (구로동)","19920428","운영중","","","","","921","","19930130","주유소","","02 8665189","189600.19307800000  ","443990.17074400000  ","신규등록"
"197","처음처럼주유소","서울특별시 구로구 궁동 283-2번지 ","서울특별시 구로구 오리로 1299 (궁동)","19920826","운영중","","","","","502.4","","19940720","주유소","","02685495   6","184875.67872900000  ","444228.75125800000  ","신규등록"
"198","삼한주유소","서울특별시 송파구 오금동 166번지 상아@ 3-106 ","서울특별시 송파구 오금로 405  (오금동상아@ 3-106)","19930803","운영중","","","","","322.3","","19941010","주유소","","0226183929","212019.86382200000  ","444403.59201300000  ","신규등록"
"199","근린공원주유소","서울특별시 구로구 고척동 167-32번지 ","서울특별시 구로구 고척로 199 (고척동)","19930619","운영중","","","","","347","","19931230","주유소","","0226140877","187221.91005100000  ","445086.59039800000  ","신규등록"
"200","(주)신강석유","서울특별시 구로구 오류동 115-1   번지 ","","19700704","운영중","","","","","3057","","19700704","주유소","","0226126690","","","신규등록"
"201","구로주유소","서울특별시 구로구 구로동 754-4번지 754-5754-6754-7754-10 ","서울특별시 구로구 구로동로 137 (구로동754-5754-6754-7754-10)","19700815","운영중","","","","","1130","","19700815","주유소","","028571 251","189714.62762600000  ","443513.59800000000  ","신규등록"
"202","현대오일뱅크(주) 직영 구로셀프주유소","서울특별시 구로구 구로동 1131-4번지 ","서울특별시 구로구 시흥대로 531 (구로동)","19730928","운영중","","20120101","20120831","20120903","1687.3","","19730928","주유소","","02 8561135","191100.90375600000  ","442394.48438900000  ","휴지사업재개"
"203","정은주유소","서울특별시 구로구 고척동 76-74번지 ","서울특별시 구로구 경인로 407 (고척동)","19760429","운영중","","","","","1439","","19760429","주유소","","0226128958","188034.57427900000  ","444320.91775600000  ","신규등록"
"204","대성산업(주) 디큐브주유소","서울특별시 구로구 신도림동 361번지 ","서울특별시 구로구 경인로 650 (신도림동)","19760528","운영중","","20110715","20110930","","826","","19760528","주유소","","02 6796722","190038.54837100000  ","445401.00999100000  ","영업개시"
"205","(주)새서울석유 대원","서울특별시 구로구 개봉동 359-1번지 SK대원주유소 ","서울특별시 구로구 개봉로 7 SK대원주유소 (개봉동)","19760518","운영중","","","","","1457.8","","19760518","주유소","","0226195189","187275.95281600000  ","442981.57682900000  ","신규등록"
"206","구인주유소","서울특별시 구로구 구로동 602-6번지 ","서울특별시 구로구 경인로 558 (구로동)","19760519","운영중","","","","","1442","","19760519","주유소","","02 6775010","189379.54943600000  ","444799.73311900000  ","신규등록"
"207","현대오일뱅크(주) 신구로주유소","서울특별시 구로구 구로동 106-5번지 ","서울특별시 구로구 가마산로 293 (구로동)","19850826","운영중","","20120101","20120616","","958.3","","19850826","주유소","","02 8666138","190500.89883600000  ","444240.54473500000  ","휴지사업재개"
"208","항동주유소","서울특별시 구로구 항동 72번지 74번지 ","서울특별시 구로구 서해안로 2154 (항동)","20170307","운영중","","","","","1311","","20170309","주유소","","","184698              ","442387              ","영업개시"
"209","삼한주유소","서울특별시 구로구 온수동 9-12번지 ","서울특별시 구로구 부일로 871 (온수동)","20050728","운영중","","","","","","","20050801","주유소","","0226183931","184434.51371400000  ","443739.81632800000  ","신규등록"
"210","철석주유소","서울특별시 성북구 종암동 104-1번지 7통4반 에스케이아파트 102동 308호","서울특별시 성북구 종암로24가길 53 102동 308호 (종암동에스케이아파트)","20060607","운영중","","","","","","","20061118","주유소","","0226882231","203383.05811700000  ","455807.83570000000  ","신규등록"
"211","구로 시몬 주유소","서울특별시 구로구 개봉동 226-1번지 ","서울특별시 구로구 경인로 290 (개봉동)","20061102","운영중","","","","","733","","20070502","주유소","","0226165189","186942.28749500000  ","444252.50871200000  ","영업개시"
"212","SK에너지(주)양평주유소","서울특별시 영등포구 양평동3가 80-2번지 ","서울특별시 영등포구 선유로 195 (양평동3가)","20031001","운영중","","","","","2757.5","","20031001","주유소","","02  26331013","190587.19890400000  ","447955.41727800000  ","신규등록"
"213","SK네트웍스(주)윈윈주유소","서울특별시 영등포구 대림동 667-9번지 ","서울특별시 영등포구 가마산로 379 (대림동)","20031001","운영중","","","","","757.2","","20031001","주유소","","02 8430481","191110.40224200000  ","444775.46056700000  ","신규등록"
"214","SK에너지(주)신길동주유소","서울특별시 영등포구 신길동 50-8번지 ","서울특별시 영등포구 영등포로 348 (신길동)","20031001","운영중","","","","","","","20180101","주유소","","02  843 0481","192662.08910300000  ","446217.64994300000  ","신규등록"
"215","SK네트웍스(주)남부주유소","서울특별시 영등포구 영등포동 426-90번지 ","서울특별시 영등포구 경인로 822 (영등포동)","20031001","운영중","","","","","","","20031001","주유소","","0226780503","191555.42158600000  ","446209.74488300000  ","신규등록"
"216","씨엔에스유통(주) 성락주유소","서울특별시 영등포구 신길동 355-545번지 ","서울특별시 영등포구 가마산로 414 (신길동)","20031201","운영중","","","","","589","","20031201","주유소","","02   8448465","191411.22096000000  ","444935.81692400000  ","신규등록"
"217","한일주유소","서울특별시 영등포구 문래동3가 76-3번지 ","서울특별시 영등포구 도림로 486 (문래동3가)","20040102","운영중","","","","","492.7","","20040102","주유소","","0226791794","190262.21832500000  ","446395.03162100000  ","신규등록"
"218","대영주유소","서울특별시 영등포구 영등포동7가 62-14번지 ","서울특별시 영등포구 국회대로 632 (영등포동7가)","19950217","운영중","","","","","647","","19960201","주유소","","02 8436520","191524.11197900000  ","447334.10006300000  ","신규등록"
"219","KH에너지(주) 직영 KH여의도주유소","서울특별시 영등포구 여의도동 13-11번지 ","서울특별시 영등포구 국회대로 794 (여의도동)","19940113","운영중","","20150901","20151231","","1024","","20151201","주유소","","02 7610085","192955.35690500000  ","447918.77314600000  ","신규등록"
"220","국회대로주유소","서울특별시 영등포구 여의도동 17-2번지 ","서울특별시 영등포구 국회대로 746 (여의도동)","19940113","운영중","","","","","1440","","20170901","주유소","","02   7829694","192577.62882000000  ","447613.82565600000  ","신규등록"
"221","강서주유소","서울특별시 영등포구 도림동 71번지 ","서울특별시 영등포구 도신로 151 (도림동)","20030604","운영중","","","","","","","20030604","주유소","","02 8321700","191888.23888600000  ","445619.59312300000  ","신규등록"
"334","박물관주유소","","서울특별시 강서구 양천로53길 97 (가양동)","20080312","운영중","","","","","631","","20080911","주유소","","","186774.80315600000  ","452006.23133300000  ","영업개시"
"222","SK네트웍스(주) 기린주유소","서울특별시 영등포구 양평동4가 159-1번지 ","서울특별시 영등포구 선유로 270 (양평동4가)","19940423","운영중","","","","","680","","20050926","주유소","","0220687800","191053.42960900000  ","448541.34314200000  ","신규등록"
"223","모드니주유소","서울특별시 영등포구 문래동3가 8-17번지 ","서울특별시 영등포구 경인로 789 (문래동3가)","20010626","운영중","","","","","","","20010628","주유소","","26377788","191235.91203600000  ","446154.15379700000  ","신규등록"
"224","보라주유소","서울특별시 영등포구 신길동 70-1번지 ","서울특별시 영등포구 영등포로 399 (신길동)","19940113","운영중","","","","","1265","","19950321","주유소","","02   8421155","193168.16752500000  ","446014.35806700000  ","신규등록"
"225","버드나룻길주유소","서울특별시 영등포구 당산동 121-106번지 ","서울특별시 영등포구 버드나루로 111 (당산동)","19940113","운영중","","","","","780","","19951210","주유소","","02   6765151","191856.71304400000  ","447612.91023900000  ","신규등록"
"226","양평주유소","서울특별시 영등포구 양평동5가 37번지 ","서울특별시 영등포구 양평로 141 (양평동5가)","19960208","운영중","","","","","","","19970506","주유소","","0226715223","190478.46748400000  ","448785.83944000000  ","신규등록"
"227","매봉주유소","서울특별시 영등포구 신길동 100-10번지 ","서울특별시 영등포구 도신로 248 (신길동)","19980225","운영중","","","","","","","19980225","주유소","","02   8368851","192780.06398400000  ","445965.98533300000  ","신규등록"
"228","SK네트웍스(주)여의도2주유소","서울특별시 영등포구 여의도동 48-1번지 ","서울특별시 영등포구 의사당대로 154 (여의도동)","19970715","운영중","","","","","715","","19981020","주유소","","02 7803466","193588.82526400000  ","446478.79228100000  ","신규등록"
"229","한경석유(주)경덕주유소","서울특별시 영등포구 신길동 4214번지 ","서울특별시 영등포구 여의대방로23길 2 (신길동)","19990916","운영중","","","","","785","","20000402","주유소","","02  833 1333","192906.67405500000  ","444327.55151600000  ","신규등록"
