기간	자치구	동	합계	합계	합계	대형마트	대형마트	대형마트	백화점	백화점	백화점	전문점	전문점	전문점	쇼핑센터	쇼핑센터	쇼핑센터	복합쇼핑몰	복합쇼핑몰	복합쇼핑몰	그밖의 대규모점포	그밖의 대규모점포	그밖의 대규모점포
2018	관악구	미성동	1	2,118	4,850	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	2,118	4,850
2018	서초구	소계	28	310,321	1,555,646	4	32,676	355,985	2	68,781	286,004	3	54,034	231,184	-	-	-	-	-	-	19	154,830	682,473
2018	서초구	서초1동	2	36,737	136,990	-	-	-	-	-	-	1	33,736	107,508	-	-	-	-	-	-	1	3,001	29,482
2018	서초구	서초2동	3	11,856	22,687	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	11,856	22,687
2018	서초구	서초3동	1	10,618	147,222	1	10,618	147,222	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2018	서초구	서초4동	4	15,907	363,833	-	-	-	-	-	-	1	5,233	92,717	-	-	-	-	-	-	3	10,674	271,116
2018	서초구	잠원동	3	8,921	16,920	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	8,921	16,920
2018	서초구	반포본동	1	2,803	23,710	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	2,803	23,710
2018	서초구	반포1동	1	1,256	1,844	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1,256	1,844
2018	서초구	반포2동	1	9,564	12,329	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	9,564	12,329
2018	서초구	반포3동	3	31,412	66,959	1	3,752	17,048	1	12,595	18,952	1	15,065	30,959	-	-	-	-	-	-	-	-	-
2018	서초구	반포4동	2	112,565	377,755	-	-	-	1	56,186	267,052	-	-	-	-	-	-	-	-	-	1	56,379	110,703
2018	서초구	방배본동	1	4,958	5,975	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	4,958	5,975
2018	서초구	방배2동	1	3,080	3,605	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	3,080	3,605
2018	서초구	방배4동	1	6,446	21,498	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	6,446	21,498
2018	서초구	양재1동	1	1,127	2,525	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1,127	2,525
2018	서초구	양재2동	3	53,071	351,794	2	18,306	191,715	-	-	-	-	-	-	-	-	-	-	-	-	1	34,765	160,079
2018	강남구	소계	32	255,893	1,815,204	1	5,174	46,778	6	132,245	318,845	-	-	-	3	18,083	443,334	1	30,317	701,880	21	70,074	304,367
2018	강남구	신사동	2	38,313	62,541	-	-	-	1	35,251	58,763	-	-	-	-	-	-	-	-	-	1	3,062	3,778
2018	강남구	논현1동	1	2,350	21,735	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	2,350	21,735
2018	강남구	논현2동	2	4,674	7,218	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	4,674	7,218
2018	강남구	삼성1동	5	94,511	1,245,178	-	-	-	1	46,111	99,964	-	-	-	3	18,083	443,334	1	30,317	701,880	-	-	-
2018	강남구	삼성2동	1	3,038	10,284	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	3,038	10,284
2018	강남구	대치1동	2	7,894	16,433	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	7,894	16,433
2018	강남구	대치4동	1	26,000	63,156	-	-	-	1	26,000	63,156	-	-	-	-	-	-	-	-	-	-	-	-
2018	강남구	역삼1동	2	6,967	34,820	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	6,967	34,820
2018	강남구	역삼2동	2	13,295	93,655	1	5,174	46,778	-	-	-	-	-	-	-	-	-	-	-	-	1	8,121	46,877
2018	강남구	도곡2동	1	7,916	102,379	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	7,916	102,379
2018	강남구	일원1동	1	1,025	4,165	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1,025	4,165
2018	강남구	일원2동	2	3,884	6,253	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	3,884	6,253
2018	강남구	수서동	1	1,713	3,051	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1,713	3,051
2018	강남구	압구정동	4	24,189	55,947	-	-	-	2	22,156	42,496	-	-	-	-	-	-	-	-	-	2	2,033	13,451
2018	강남구	청담동	3	10,797	71,690	-	-	-	1	2,727	54,466	-	-	-	-	-	-	-	-	-	2	8,070	17,224
2018	강남구	대치2동	2	9,327	16,699	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	9,327	16,699
2018	송파구	소계	22	349,032	5,866,062	4	60,029	963,551	2	90,670	1,371,828	2	8,000	1,391,152	3	127,484	1,325,202	-	-	-	11	62,849	814,329
2018	송파구	마천1동	1	6,409	23,916	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	6,409	23,916
2018	송파구	마천2동	1	3,871	3,871	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	3,871	3,871
2018	송파구	오륜동	1	6,431	24,168	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	6,431	24,168
2018	송파구	오금동	1	1,663	24,183	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1,663	24,183
2018	송파구	송파1동	1	5,269	7,966	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	5,269	7,966
2018	송파구	석촌동	1	2,771	4,296	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	2,771	4,296
2018	송파구	가락2동	1	2,890	14,520	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	2,890	14,520
2018	송파구	문정2동	3	95,281	775,094	1	13,780	74,403	-	-	-	-	-	-	1	68,994	274,056	-	-	-	1	12,507	426,635
2018	송파구	잠실6동	6	107,125	3,524,247	2	26,040	857,729	1	18,088	807,686	1	4,507	807,686	2	58,490	1,051,146	-	-	-	-	-	-
2018	송파구	잠실7동	1	7,225	8,119	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	7,225	8,119
2018	송파구	잠실3동	5	110,097	1,455,682	1	20,209	31,419	1	72,582	564,142	1	3,493	583,466	-	-	-	-	-	-	2	13,813	276,655
2018	강동구	소계	12	114,448	424,984	3	25,823	108,225	1	33,980	99,661	-	-	-	-	-	-	-	-	-	8	54,645	217,098
2018	강동구	명일2동	2	18,143	42,545	1	8,659	27,913	-	-	-	-	-	-	-	-	-	-	-	-	1	9,484	14,632
2018	강동구	천호1동	1	8,083	63,018	1	8,083	63,018	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2018	강동구	천호3동	2	17,783	63,678	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	17,783	63,678
2018	강동구	성내2동	1	3,295	15,438	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	3,295	15,438
2018	강동구	성내3동	1	2,486	23,910	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	2,486	23,910
2018	강동구	천호2동	3	58,142	172,624	1	9,081	17,294	1	33,980	99,661	-	-	-	-	-	-	-	-	-	1	15,081	55,669
2018	강동구	길동	2	6,515	43,772	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	6,515	43,772
